0., 10.71, 1.0
0.5, 10.71, 1.0
1., 10.71, 1.0
1.5, 10.71, 1.0
2., 10.71, 1.0
2.5, 10.71, 1.0
3., 10.71, 1.00228
3.5, 10.74, 1.00029
4., 10.76, 1.00048
4.25, 11.09, 1.00505
4.60, 13.68, 1.02159
5.0, 17.61, 1.02324
5.15, 24.07, 1.05423
5.20, 29.84, 1.07578
5.40, 47.83, 1.06118
5.50, 53.04, 1.04690
6.00, 73.48, 1.01778
7.00, 83.10, 1.00123
7.30, 85.56, 1.00389
7.60, 91.97, 1.00887
8.00, 102.17, 1.00750
8.45, 104.98, 1.00023
